Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"The Deflated Sharpe Ratio: Correcting for Selection Bias, Backtest Overfitting, and Non-Normality","The Deflated Sharpe Ratio (DSR) corrects for selection bias and non-Normally distributed returns, helping separate legitimate empirical findings from statistical flukes in financial markets.","David H. Bailey, Marcos M. López de Prado",2014,135,"With the advent in recent years of large financial data sets, machine learning and high-performance computing, analysts can backtest millions (if not billions) of alternative investment strategies. Backtest optimizers search for combinations of parameters that maximize the simulated historical performance of a strategy, leading to backtest overfitting. The problem of performance inflation extends beyond backtesting. More generally, researchers and investors tend to report only positive outcomes, a phenomenon known as selection bias. Not controlling for the number of trials involved in a particular discovery leads to over-optimistic performance expectations. The Deflated Sharpe Ratio (DSR) corrects for two leading sources of performance inflation: Selection bias under multiple testing and non-Normally distributed returns. In doing so, DSR helps separate legitimate empirical findings from statistical flukes.","theoretical, modeling, or simulation study","The Journal of Portfolio Management","","10.3905/jpm.2014.40.5.094","https://consensus.app/papers/the-deflated-sharpe-ratio-correcting-for-selection-bias-bailey-prado/378afd063fd15487a4fcb21af0850767/"
"A Test for Superior Predictive Ability","The new test for superior predictive ability is more powerful and less sensitive to poor alternatives, outperforming the reality check and random-walk forecasts in data snooping.","P. Hansen",2005,1251,"We propose a new test for superior predictive ability. The new test compares favorably to the reality check (RC) for data snooping, because it is more powerful and less sensitive to poor and irrelevant alternatives. The improvements are achieved by two modifications of the RC. We use a studentized test statistic that reduces the influence of erratic forecasts and invoke a sample-dependent null distribution. The advantages of the new test are confirmed by Monte Carlo experiments and an empirical exercise in which we compare a large number of regression-based forecasts of annual U.S. inflation to a simple random-walk forecast. The random-walk forecast is found to be inferior to regression-based forecasts and, interestingly, the best sample performance is achieved by models that have a Phillips curve structure.","theoretical, modeling, or simulation study","Journal of Business & Economic Statistics","","10.1198/073500105000000063","https://consensus.app/papers/a-test-for-superior-predictive-ability-hansen/9decc6f21ba757f5a549d9b90a77a380/"
"The Romano–Wolf multiple-hypothesis correction in Stata","The Romano-Wolf correction in Stata effectively controls the familywise error rate, reducing overrejection of null hypotheses in multiple-hypothesis tests.","D. Clarke, Joseph P. Romano, Michael Wolf",2020,215,"When considering multiple-hypothesis tests simultaneously, standard statistical techniques will lead to overrejection of null hypotheses unless the multiplicity of the testing framework is explicitly considered. In this article, we discuss the Romano–Wolf multiple-hypothesis correction and document its implementation in Stata. The Romano–Wolf correction (asymptotically) controls the familywise error rate, that is, the probability of rejecting at least one true null hypothesis among a family of hypotheses under test. This correction is considerably more powerful than earlier multiple-testing procedures, such as the Bonferroni and Holm corrections, given that it takes into account the dependence structure of the test statistics by resampling from the original data. We describe a command, rwolf, that implements this correction and provide several examples based on a wide range of models. We document and discuss the performance gains from using rwolf over other multiple-testing procedures that control the familywise error rate.","other","The Stata Journal","1","10.1177/1536867x20976314","https://consensus.app/papers/the-romano%E2%80%93wolf-multiplehypothesis-correction-in-stata-clarke-romano/75ded87c6668584a8ea0053d880909a8/"
"How “backtest overfitting” in finance leads to false discoveries","""Backtest overfitting"" in financial investment strategies can lead to statistical mirages that perform poorly in the real world.","D. Bailey, Marcos López de Prado",2021,7,"Financial investment strategies are often designed and tested using historical market data. But this can frequently give rise to “optimal” strategies that are statistical mirages and perform poorly out in the real world, as David H. Bailey and Marcos López de Prado explain","commentary or perspective","Significance","3","10.1111/1740-9713.01588","https://consensus.app/papers/how-%E2%80%9Cbacktest-overfitting%E2%80%9D-in-finance-leads-to-false-bailey-prado/34595829ca3755c182cfc54846cde295/"
"... and the Cross-Section of Expected Returns","A newly discovered factor in financial economics needs to clear a t-ratio greater than 3.0 to be considered significant, suggesting most claimed research findings are likely false.","Campbell R. Harvey",2014,1909,"Hundreds of papers and hundreds of factors attempt to explain the cross-section of expected returns. Given this extensive data mining, it does not make any economic or statistical sense to use the usual significance criteria for a newly discovered factor, e.g., a t-ratio greater than 2.0. However, what hurdle should be used for current research? Our paper introduces a multiple testing framework and provides a time series of historical significance cutoffs from the first empirical tests in 1967 to today. Our new method allows for correlation among the tests as well as missing data. We also project forward 20 years assuming the rate of factor production remains similar to the experience of the last few years. The estimation of our model suggests that a newly discovered factor needs to clear a much higher hurdle, with a t-ratio greater than 3.0. Echoing a recent disturbing conclusion in the medical literature, we argue that most claimed research findings in financial economics are likely false.","other","","","10.3386/w20592","https://consensus.app/papers/and-the-crosssection-of-expected-returns-harvey/ce725e9d01e350deaefa6adee78aec92/"
"Editor's Choice … and the Cross-Section of Expected Returns","Most financial economics research findings are likely false, as they often clear a t-statistic greater than 3.0, indicating extensive data mining.","Campbell R. Harvey, Yan Liu, He-yan Zhu",2016,192,"Hundreds of papers and factors attempt to explain the cross-section of expected returns. Given this extensive data mining, it does not make sense to use the usual criteria for establishing significance. Which hurdle should be used for current research? Our paper introduces a new multiple testing framework and provides historical cutoffs from the first empirical tests in 1967 to today. A new factor needs to clear a much higher hurdle, with a t-statistic greater than 3.0. We argue that most claimed research findings in financial economics are likely false. Received October 22, 2014; accepted June 15, 2015 by Editor Andrew Karolyi.","commentary or perspective","Review of Financial Studies","1","","https://consensus.app/papers/editors-choice-%E2%80%A6-and-the-crosssection-of-expected-returns-harvey-liu/3568af295ac75e38b7e082106da51311/"
"Backtest overfitting in the machine learning era: A comparison of out-of-sample testing methods in a synthetic controlled environment","The Combinatorial Purged (CPCV) method effectively reduces overfitting risks in financial models, outperforming traditional methods like K-Fold and Walk-Forward.","H. Arian, Daniel Norouzi Mobarekeh, Luis A. Seco",2024,13,"This research explores the integration of advanced statistical models and machine learning in financial analytics, representing a shift from traditional to advanced, data-driven methods. We address a critical gap in quantitative finance: the need for robust model evaluation and out-of-sample testing methodologies, particularly tailored cross-validation techniques for financial markets. We present a comprehensive framework to assess these methods, considering the unique characteristics of financial data like non-stationarity, autocorrelation, and regime shifts. Through our analysis, we unveil the marked superiority of the Combinatorial Purged (CPCV) method in mitigating overfitting risks, outperforming traditional methods like K-Fold, Purged K-Fold, and especially Walk-Forward, as evidenced by its lower Probability of Backtest Overfitting (PBO) and superior Deflated Sharpe Ratio (DSR) Test Statistic. Walk-Forward, by contrast, exhibits notable shortcomings in false discovery prevention, characterized by increased temporal variability and weaker stationarity. This contrasts starkly with CPCV's demonstrable stability and efficiency, confirming its reliability for financial strategy development. The analysis also suggests that choosing between Purged K-Fold and K-Fold necessitates caution due to their comparable performance and potential impact on the robustness of training data in out-of-sample testing. Our investigation utilizes a Synthetic Controlled Environment incorporating advanced models like the Heston Stochastic Volatility, Merton Jump Diffusion, and Drift-Burst Hypothesis, alongside regime-switching models. This approach provides a nuanced simulation of market conditions, offering new insights into evaluating cross-validation techniques. Our study underscores the necessity of specialized validation methods in financial modeling, especially in the face of growing regulatory demands and complex market dynamics. It bridges theoretical and practical finance, offering a fresh outlook on financial model validation. Highlighting the significance of advanced cross-validation techniques like CPCV, our research enhances the reliability and applicability of financial models in decision-making.","theoretical, modeling, or simulation study","Knowl. Based Syst.","","10.2139/ssrn.4686376","https://consensus.app/papers/backtest-overfitting-in-the-machine-learning-era-a-arian-mobarekeh/74befee8949a5747b0839780019057a5/"
"Time series momentum: Is it there?","The evidence on time series momentum (TSM) is weak, particularly for large cross-sections of assets, and while a TSM strategy is profitable, its performance is similar to that of a similar strategy based on historical sample mean.","Dashan Huang, Jiangyuan Li, Liyao Wang, Guofu Zhou",2020,99,"","other","Journal of Financial Economics","1","10.1016/j.jfineco.2019.08.004","https://consensus.app/papers/time-series-momentum-is-it-there-huang-li/5d98bd221fe45fc38bf795d02c220009/"
"Efficient computation of adjusted p-values for resampling-based stepdown multiple testing","This paper presents an efficient algorithm for computing adjusted p-values in resampling-based stepdown multiple testing, filling a gap in the original Romano and Wolf papers.","Joseph P. Romano, Michael Wolf",2016,277,"","other","Statistics & Probability Letters","","10.1016/j.spl.2016.02.012","https://consensus.app/papers/efficient-computation-of-adjusted-pvalues-for-romano-wolf/0e67984f95255c57b7f982403350423a/"
"Point -in-Time Backtesting of Momentum-Trend Equity Strategies: A Formal Bias Taxonomy, ATR Trailing Stop Analysis, and Investor-Experience Metrics","","X. Fonseca",2026,2,"Systematic trend-following strategies applied to equity markets are widely studied, yet most reported performance statistics are non-reproducible in live trading. This paper makes three contributions. First, we introduce a formal taxonomy of look-ahead bias organised around point-in-time correctness: a strategy is point-in-time correct if, for every decision time t, its information set lies in the natural filtration Ft. Three bias classes—universe-membership contamination, price-data forward leakage, and stop-exit sequencing violations—are characterised as filtration breaches. Second, we formalise the average true range (ATR) trailing stop as a stochastic recurrence and codify its monotonic non-decreasing ratcheting property (Lemma 1), providing a structural per-trade loss bound. Third, we exhibit a closed-form construction (Theorem 1) of two return sequences with identical Sharpe ratios but arbitrarily divergent maximum consecutive negative-year runs, establishing investor-experience metrics as independent optimisation objectives. We complement these contributions with an 18-year empirical study (2008–2025) on the NASDAQ-100 with reconstructed point-in-time index constituency (Class I compliant) and measured residual Class II exposure, applying combinatorially symmetric cross-validation (CSCV) to a 14-configuration ATR-multiplier grid. The grid exhibits a stop-multiplier-insensitive, CAGR-flat region across k∈[3.5,7.0] (CAGR 10.28–10.39%, net of Dutch progressive tax) and a uniform maximum consecutive negative-year run of 1 across all 14 configurations. The correlation-matrix eigenvalue spectrum of the grid is dominated by a single mode (λ1=13.91 of 14), yielding an effective independent-test count of Meff=1.09. This near-degeneracy persists in a parallel grid with the regime classifier disabled, establishing the ATR multiplier as a structurally near-redundant parameter for this strategy class. The associated PBO value of =0.9351 co-occurs with this near-degeneracy under the CSCV maximum-selection rule. The plateau-level performance survives Bonferroni correction for both M=14 and Meff. The combined evidence supports a region-based interpretation of robust strategy parameters rather than single-point optimisation.","","Mathematics","2","10.3390/math14122182","https://consensus.app/papers/point-intime-backtesting-of-momentumtrend-equity-fonseca/511363aba07f54bc984afad0b5a3ff8a/"
